  494 timed	Modified       /private/var/mobile/Library/Caches/.dat.nosync01ee.7muO3f	
  494 timed	Renamed        /private/var/mobile/Library/Caches/.dat.nosync01ee.7muO3f	/private/var/mobile/Library/Caches/com.apple.timed.plist 
  494 timed	Chowned        /private/var/mobile/Library/Caches/com.apple.timed.plist	
  494 timed	Modified       /private/var/mobile/Library/Logs/CoreTime.log	
  494 timed	Modified       /private/var/mobile/Library/Logs/CoreTime.log	
  494 timed	Modified       /private/var/mobile/Library/Logs/CoreTime.log	
  494 timed	Created        /private/var/mobile/Library/Caches/.dat.nosync01ee.RLTS8N	
  494 timed	Modified       /private/var/mobile/Library/Caches/.dat.nosync01ee.RLTS8N	
  494 timed	Renamed        /private/var/mobile/Library/Caches/.dat.nosync01ee.RLTS8N	/private/var/mobile/Library/Caches/com.apple.timed.plist 
  494 timed	Chowned        /private/var/mobile/Library/Caches/com.apple.timed.plist	
  494 timed	Modified       /private/var/mobile/Library/Logs/CoreTime.log	
  494 timed	Modified       /private/var/mobile/Library/Logs/CoreTime.log	
  494 timed	Modified       /private/var/mobile/Library/Logs/CoreTime.log	
  494 timed	Created        /private/var/mobile/Library/Caches/.dat.nosync01ee.h0qTCy	
  494 timed	Modified       /private/var/mobile/Library/Caches/.dat.nosync01ee.h0qTCy	
  494 timed	Renamed        /private/var/mobile/Library/Caches/.dat.nosync01ee.h0qTCy	/private/var/mobile/Library/Caches/com.apple.timed.plist 
  494 timed	Chowned        /private/var/mobile/Library/Caches/com.apple.timed.plist	
  494 timed	Modified       /private/var/mobile/Library/Logs/CoreTime.log	
  494 timed	Modified       /private/var/mobile/Library/Logs/CoreTime.log	
  494 timed	Modified       /private/var/mobile/Library/Logs/CoreTime.log	
  494 timed	Created        /private/var/mobile/Library/Caches/.dat.nosync01ee.bwgK71	
  494 timed	Modified       /private/var/mobile/Library/Caches/.dat.nosync01ee.bwgK71	
  494 timed	Renamed        /private/var/mobile/Library/Caches/.dat.nosync01ee.bwgK71	/private/var/mobile/Library/Caches/com.apple.timed.plist 
  494 timed	Chowned        /private/var/mobile/Library/Caches/com.apple.timed.plist	
  494 timed	Modified       /private/var/mobile/Library/Logs/CoreTime.log	
 8047 xpcproxy	Created        /private/var/tmp/cy-fj1L41.dylib	
 8047 xpcproxy	Deleted        /private/var/tmp/cy-fj1L41.dylib	
 8047 xpcproxy	Modified       /private/var/tmp/cy-fj1L41.dylib	
 8047 xpcproxy	Created        /private/var/tmp/cy-U4GAH7.dylib	
 8047 xpcproxy	Deleted        /private/var/tmp/cy-U4GAH7.dylib	
 8047 xpcproxy	Modified       /private/var/tmp/cy-U4GAH7.dylib	
 8051 xpcproxy	Created        /private/var/tmp/cy-L0malR.dylib	
 8051 xpcproxy	Deleted        /private/var/tmp/cy-L0malR.dylib	
 8051 xpcproxy	Modified       /private/var/tmp/cy-L0malR.dylib	
 8051 xpcproxy	Created        /private/var/tmp/cy-Xev8nj.dylib	
 8051 xpcproxy	Deleted        /private/var/tmp/cy-Xev8nj.dylib	
 8051 xpcproxy	Modified       /private/var/tmp/cy-Xev8nj.dylib	
 8055 xpcproxy	Created        /private/var/tmp/cy-GvCyUw.dylib	
 8055 xpcproxy	Deleted        /private/var/tmp/cy-GvCyUw.dylib	
 8055 xpcproxy	Modified       /private/var/tmp/cy-GvCyUw.dylib	
 8055 xpcproxy	Created        /private/var/tmp/cy-zHU4pM.dylib	
 8055 xpcproxy	Deleted        /private/var/tmp/cy-zHU4pM.dylib	
 8055 xpcproxy	Modified       /private/var/tmp/cy-zHU4pM.dylib	
 8057 bash	Modified       /private/var/run/utmpx	
 7966 SpringBoard	Created        /private/var/mobile/Library/Caches/com.apple.UIStatusBar/13F69/images/tmp.MPCS64lg	
 7966 SpringBoard	Deleted        /private/var/mobile/Library/Caches/com.apple.UIStatusBar/13F69/images/172013073450246116839838031344481769046	
 7966 SpringBoard	Chowned        /private/var/mobile/Library/Caches/com.apple.UIStatusBar/13F69/images/tmp.MPCS64lg	
 7966 SpringBoard	Changed stat   /private/var/mobile/Library/Caches/com.apple.UIStatusBar/13F69/images/tmp.MPCS64lg	
 7966 SpringBoard	Modified       /private/var/mobile/Library/Caches/com.apple.UIStatusBar/13F69/images/tmp.MPCS64lg	
 7966 SpringBoard	Renamed        /private/var/mobile/Library/Caches/com.apple.UIStatusBar/13F69/images/tmp.MPCS64lg	/private/var/mobile/Library/Caches/com.apple.UIStatusBar/13F69/images/172013073450246116831226304367052767831 
 8057 	Modified       /private/var/root/.bash_history	
 8057 	Changed stat   /private/var/root/.bash_history	
 8057 	Modified       /private/var/root/.bash_history	
 8055 sshd	Modified       /private/var/run/utmpx	
 8062 xpcproxy	Created        /private/var/tmp/cy-tzEH2E.dylib	
 8062 xpcproxy	Deleted        /private/var/tmp/cy-tzEH2E.dylib	
 8062 xpcproxy	Modified       /private/var/tmp/cy-tzEH2E.dylib	
 8062 xpcproxy	Created        /private/var/tmp/cy-5zXU2T.dylib	
 8062 xpcproxy	Deleted        /private/var/tmp/cy-5zXU2T.dylib	
